# Obtained from here:
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom?raw=on


*Stop-antistop (sbottom-antisbottom) production cross sections* in proton-proton collisions, <latex> pp \to \tilde t \tilde t^*/\tilde b \tilde b^* </latex>, at 13 !TeV, computed at NNLO<sub>approx</sub>+NNLL in the limit of large squark (other than the stop/sbottom) and gluino masses (decoupled regime). No top quarks are considered in the initial state. The PDF set is !PDF4LHC21_40_pdfas (LHAPDF ID 93300).

Uncertainties (corresponding to PDF+<latex>\alpha_s</latex> and scale uncertainties as well as the uncertainty related to the choice of the stop/sbottom mixing angle added in quadrature) on theory predictions are symmetrized.

Contact: Christoph Borschensky, Anna Kulesza, 2024

Please cite SciPost Phys. Core 7, 072 (2024), https://scipost.org/SciPostPhysCore.7.4.072 (Latest paper accompanying the release of the NNLL-fast 2.0 code)
and other NNLL-fast related papers, whenever NNLL-fast 2.0 or the new cross sections are used, see https://www.uni-muenster.de/Physik.TP/~akule_01/nnllfast  for details.

---+ NNLO<sub>approx</sub> + NNLL
| *Stop / sbottom mass (!GeV)* | *Cross section (pb)* | *&plusmn; Uncertainty* |
| 100 | 1.876E+03 | 4.57 % |
| 105 | 1.526E+03 | 4.52 % |
| 110 | 1.249E+03 | 4.48 % |
| 115 | 1.028E+03 | 4.44 % |
| 120 | 8.517E+02 | 4.40 % |
| 125 | 7.096E+02 | 4.37 % |
| 130 | 5.944E+02 | 4.34 % |
| 135 | 5.006E+02 | 4.32 % |
| 140 | 4.238E+02 | 4.30 % |
| 145 | 3.605E+02 | 4.28 % |
| 150 | 3.082E+02 | 4.27 % |
| 155 | 2.646E+02 | 4.26 % |
| 160 | 2.282E+02 | 4.25 % |
| 165 | 1.976E+02 | 4.24 % |
| 170 | 1.718E+02 | 4.24 % |
| 175 | 1.500E+02 | 4.23 % |
| 180 | 1.314E+02 | 4.23 % |
| 185 | 1.154E+02 | 4.23 % |
| 190 | 1.018E+02 | 4.24 % |
| 195 | 8.999E+01 | 4.24 % |
| 200 | 7.979E+01 | 4.25 % |
| 205 | 7.081E+01 | 4.25 % |
| 210 | 6.299E+01 | 4.26 % |
| 215 | 5.617E+01 | 4.26 % |
| 220 | 5.021E+01 | 4.27 % |
| 225 | 4.497E+01 | 4.28 % |
| 230 | 4.037E+01 | 4.29 % |
| 235 | 3.631E+01 | 4.30 % |
| 240 | 3.273E+01 | 4.31 % |
| 245 | 2.955E+01 | 4.32 % |
| 250 | 2.673E+01 | 4.33 % |
| 255 | 2.420E+01 | 4.35 % |
| 260 | 2.194E+01 | 4.36 % |
| 265 | 1.993E+01 | 4.38 % |
| 270 | 1.813E+01 | 4.39 % |
| 275 | 1.651E+01 | 4.41 % |
| 280 | 1.506E+01 | 4.42 % |
| 285 | 1.376E+01 | 4.44 % |
| 290 | 1.258E+01 | 4.45 % |
| 295 | 1.152E+01 | 4.47 % |
| 300 | 1.057E+01 | 4.48 % |
| 305 | 9.698E+00 | 4.49 % |
| 310 | 8.910E+00 | 4.50 % |
| 315 | 8.196E+00 | 4.51 % |
| 320 | 7.547E+00 | 4.52 % |
| 325 | 6.956E+00 | 4.53 % |
| 330 | 6.418E+00 | 4.54 % |
| 335 | 5.928E+00 | 4.56 % |
| 340 | 5.480E+00 | 4.57 % |
| 345 | 5.071E+00 | 4.58 % |
| 350 | 4.697E+00 | 4.60 % |
| 355 | 4.353E+00 | 4.62 % |
| 360 | 4.038E+00 | 4.65 % |
| 365 | 3.749E+00 | 4.68 % |
| 370 | 3.483E+00 | 4.71 % |
| 375 | 3.238E+00 | 4.73 % |
| 380 | 3.013E+00 | 4.76 % |
| 385 | 2.806E+00 | 4.79 % |
| 390 | 2.615E+00 | 4.82 % |
| 395 | 2.439E+00 | 4.85 % |
| 400 | 2.276E+00 | 4.88 % |
| 405 | 2.125E+00 | 4.90 % |
| 410 | 1.986E+00 | 4.92 % |
| 415 | 1.856E+00 | 4.94 % |
| 420 | 1.737E+00 | 4.95 % |
| 425 | 1.626E+00 | 4.97 % |
| 430 | 1.523E+00 | 4.99 % |
| 435 | 1.427E+00 | 5.01 % |
| 440 | 1.338E+00 | 5.02 % |
| 445 | 1.256E+00 | 5.04 % |
| 450 | 1.179E+00 | 5.07 % |
| 455 | 1.107E+00 | 5.09 % |
| 460 | 1.041E+00 | 5.12 % |
| 465 | 9.787E-01 | 5.16 % |
| 470 | 9.207E-01 | 5.19 % |
| 475 | 8.666E-01 | 5.22 % |
| 480 | 8.160E-01 | 5.26 % |
| 485 | 7.688E-01 | 5.29 % |
| 490 | 7.247E-01 | 5.33 % |
| 495 | 6.834E-01 | 5.36 % |
| 500 | 6.448E-01 | 5.40 % |
| 505 | 6.085E-01 | 5.43 % |
| 510 | 5.745E-01 | 5.46 % |
| 515 | 5.426E-01 | 5.49 % |
| 520 | 5.127E-01 | 5.52 % |
| 525 | 4.847E-01 | 5.55 % |
| 530 | 4.583E-01 | 5.58 % |
| 535 | 4.336E-01 | 5.61 % |
