#: table_doi: 10.17182/hepdata.166009.v1/t11
#: name: Figure 11b (upper right), exclusion curves
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of the $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 15 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11b_(upper_right),_exclusion_curves.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword cmenergies: 13000.0
$c\tau$ [mm],Median expected $m$ excluded at 95%% CL [GeV],$1 \sigma_\mathrm{exp}$ +,$1 \sigma_\mathrm{exp}$ -
0.2,0,0,0
0.5,280.0,50.0,-60.0
1.0,340.0,50.0,-40.0
2.0,390.0,40.0,-50.0
5.0,430.0,40.0,-50.0
10.0,440.0,40.0,-50.0
20.0,430.0,50.0,-50.0
50.0,400.0,50.0,-70.0
100.0,340.0,60.0,-70.0
200.0,260.0,60.0,-50.0

