#: table_doi: 10.17182/hepdata.166009.v1/t13
#: name: Figure 11c (lower left), exclusion curves
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of the $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 20 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11c_(lower_left),_exclusion_curves.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword cmenergies: 13000.0
$c\tau$ [mm],Median expected $m$ excluded at 95%% CL [GeV],$1 \sigma_\mathrm{exp}$ +,$1 \sigma_\mathrm{exp}$ -
0.2,200.0,40.0,0
0.5,300.0,40.0,-60.0
1.0,350.0,60.0,-40.0
2.0,390.0,60.0,-50.0
5.0,440.0,70.0,-60.0
10.0,450.0,60.0,-60.0
20.0,450.0,60.0,-50.0
50.0,420.0,50.0,-60.0
100.0,360.0,60.0,-50.0
200.0,300.0,50.0,-70.0

