#: table_doi: 10.17182/hepdata.114415.v1/t22
#: name: Figure 10a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the T2bff$\tilde{\chi}^0_1$ simplified model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_10a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> STOP STOP, STOP --> BQ LEPTON+/LEPTON- NU/NUBAR NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Expected
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\text{t}}}$ [GeV],"$\Delta m (\tilde{\text{t}}, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{experiment}$ +,$\pm 1 \sigma_\text{experiment}$ -,$\pm 2 \sigma_\text{experiment}$ +,$\pm 2 \sigma_\text{experiment}$ -
525.0,30.0,0.263,0.12789,-0.080902,0.30038,-0.12944
625.0,40.0,0.2216,0.10688,-0.068169,0.25259,-0.10907
400.0,10.0,4.8322,2.8892,-1.6929,7.0836,-2.6426
400.0,50.0,0.75637,0.34672,-0.22429,0.79089,-0.36341
600.0,40.0,0.25371,0.12237,-0.077559,0.28764,-0.12487
550.0,18.0,0.35281,0.1786,-0.1125,0.42817,-0.17778
500.0,13.0,1.0734,0.56906,-0.35025,1.3862,-0.55348
300.0,40.0,1.0853,0.49317,-0.32445,1.1321,-0.5257
475.0,60.0,0.68346,0.30785,-0.20524,0.71122,-0.32838
500.0,20.0,0.35038,0.17737,-0.11173,0.42102,-0.17656
600.0,15.0,0.47469,0.25165,-0.15606,0.61021,-0.24662
300.0,10.0,5.7551,3.3263,-1.9874,8.1277,-3.1023
475.0,13.0,0.85228,0.45183,-0.2802,1.0956,-0.44279
475.0,20.0,0.36351,0.17678,-0.11271,0.41739,-0.18034
575.0,15.0,0.62006,0.31389,-0.19772,0.75993,-0.31245
600.0,30.0,0.24417,0.11387,-0.074513,0.26855,-0.11922
350.0,40.0,0.71923,0.33256,-0.21502,0.7716,-0.34838
650.0,18.0,0.29103,0.15661,-0.094961,0.37869,-0.15006
575.0,50.0,0.33564,0.15653,-0.10161,0.36503,-0.16258
325.0,80.0,3.4811,1.5402,-1.0368,3.5181,-1.6589
575.0,70.0,0.58826,0.26966,-0.17586,0.62965,-0.28494
600.0,18.0,0.28782,0.15373,-0.093912,0.37225,-0.1484
625.0,50.0,0.32601,0.15204,-0.098696,0.35456,-0.15791
500.0,80.0,1.1666,0.54405,-0.35316,1.2615,-0.56506
300.0,60.0,2.1374,0.96271,-0.63661,2.1711,-1.0186
325.0,15.0,0.97973,0.5194,-0.3221,1.2537,-0.509
650.0,13.0,0.98348,0.55275,-0.32979,1.3595,-0.51479
425.0,18.0,0.45346,0.23136,-0.14572,0.55129,-0.23027
375.0,30.0,0.51773,0.24145,-0.158,0.56306,-0.2528
550.0,20.0,0.23945,0.12885,-0.078722,0.31017,-0.1244
300.0,30.0,0.79423,0.36724,-0.24238,0.85206,-0.38781
400.0,18.0,0.50544,0.2599,-0.16042,0.61558,-0.25667
625.0,60.0,0.45173,0.21968,-0.13896,0.52416,-0.22234
475.0,50.0,0.48468,0.22218,-0.1449,0.5128,-0.23477
