#: table_doi: 10.17182/hepdata.114415.v1/t22
#: name: Figure 10a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the T2bff$\tilde{\chi}^0_1$ simplified model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_10a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> STOP STOP, STOP --> BQ LEPTON+/LEPTON- NU/NUBAR NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\text{t}}}$ [GeV],"$\Delta m (\tilde{\text{t}}, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{theory}$ +,$\pm 1 \sigma_\text{theory}$ -
525.0,30.0,0.32243,0.049651,-0.03796
625.0,40.0,0.20423,0.029968,-0.023169
400.0,10.0,9.0737,1.4403,-1.0932
400.0,50.0,0.76197,0.12095,-0.091803
600.0,40.0,0.26104,0.039723,-0.030454
550.0,18.0,0.65509,0.10022,-0.076739
500.0,13.0,1.6283,0.25151,-0.19215
300.0,40.0,1.1266,0.18222,-0.13768
475.0,60.0,0.65681,0.10157,-0.077575
500.0,20.0,0.50657,0.078247,-0.059779
600.0,15.0,0.84114,0.128,-0.098132
300.0,10.0,13.208,2.1363,-1.6141
475.0,13.0,1.4989,0.23179,-0.17704
475.0,20.0,0.58127,0.089885,-0.068653
575.0,15.0,0.99961,0.153,-0.11714
600.0,30.0,0.23872,0.036326,-0.02785
350.0,40.0,0.71097,0.11275,-0.085599
650.0,18.0,0.42267,0.062729,-0.048371
575.0,50.0,0.2905,0.044463,-0.034042
325.0,80.0,4.0233,0.64489,-0.48834
575.0,70.0,0.50533,0.077344,-0.059217
600.0,18.0,0.46782,0.071189,-0.054578
625.0,50.0,0.25015,0.036706,-0.028378
500.0,80.0,0.7871,0.12158,-0.092884
300.0,60.0,2.2554,0.36479,-0.27563
