#: table_doi: 10.17182/hepdata.116374.v1/t22
#: name: Figure 9a (expected limit contour)
#: description: Contour of the region excluded with 95% CL (expected).
#: data_file: contour_T2tt_exp.yaml
m_{stop} [GeV],m_{LSP} [pb]
1336,5.256
1336,13.77
1336,22.28
1336,30.79
1336,39.3
1336,47.81
1336,56.32
1336,64.83
1337,73.34
1337,81.86
1337,90.37
1337,98.88
1337,107.4
1336,115.9
1336,124.4
1336,132.9
1335,141.4
1335,149.9
1334,155.6
1334,158.5
1334,167
1333,175.5
1333,184
1332,192.5
1332,201
1331,209.5
1331,218
1330,226.5
1330,235.1
1329,243.6
1328,252.1
1327,260.6
1326,269.1
1325,277.6
1324,279.1
1323,286.1
1322,294.6
1321,303.1
1320,311.7
1319,320.2
1318,328.7
1317,337.2
1316,345.7
1315,354.2
1314,358.1
1314,362.7
1312,371.2
1311,379.7
1309,388.3
1308,396.8
1306,405.3
1304,412.9
1304,413.8
1302,422.3
1300,430.8
1297,439.3
1295,447.8
1294,451.6
1293,456.3
1290,464.9
1288,473.4
1285,481.9
1284,486
1283,490.4
1280,498.9
1277,507.4
1274,513
1273,515.9
1269,524.4
1265,532.9
1264,535.2
1261,541.5
1257,550
1254,554.1
1252,558.5
1246,567
1244,570.8
1241,575.5
1236,584
1234,587.3
1231,592.5
1225,601
1224,601.8
1218,609.5
1214,613.5
1209,618.1
1204,623.6
1200,626.6
1194,632
1190,635.1
1184,639
1176,643.6
1174,645
1164,649.6
1157,652.1
1154,652.9
1144,654.6
1134,655.6
1124,656.3
1114,657.1
1104,657.7
1093,657.8
1083,657.5
1073,656.5
1063,655.2
1053,653.6
1044,652.1
1043,651.9
1033,649.9
1023,647.9
1013,645.9
1003,643.8
1002,643.6
993.1,641.4
983.1,638.9
973.1,636.5
967,635.1
963,634.1
953,630.8
942.9,626.6
942.9,626.6
932.9,622.3
922.9,619.1
918.5,618.1
912.8,616.7
902.8,614.4
892.8,611.4
888.1,609.5
882.7,607.4
872.7,603.1
867.3,601
862.6,599.1
852.6,595.3
845.7,592.5
842.6,591
832.5,585.7
829.4,584
822.5,580.2
813,575.5
812.5,575.3
802.4,571.3
792.4,567.6
790.4,567
782.4,564.4
772.3,561.4
762.9,558.5
762.3,558.3
752.2,555.2
742.2,553
732.2,552.3
722.1,553.3
712.1,555.2
702.1,557
692,557.5
689.5,558.5
682,562.1
671.9,561.9
669.6,558.5
661.9,556
651.9,556.7
644.4,550
641.8,546.5
637.9,541.5
632,532.9
631.8,532.8
621.8,529.8
613,524.4
611.7,523.4
611.7,515.9
601.7,507.4
601.7,507.4
591.6,498.9
591.6,498.9
581.6,490.4
581.6,490.4
571.6,481.9
571.6,481.9
561.5,473.4
561.5,473.4
561.5,464.9
551.5,456.3
551.5,456.3
541.5,447.8
541.5,447.8
531.4,439.3
531.4,439.3
521.4,430.8
521.4,430.8
511.4,422.3
511.4,422.3
501.3,413.8
501.3,413.8
501.3,405.3
491.3,396.8
491.3,396.8
481.2,388.3
481.2,388.3
471.2,379.7
471.2,379.7
461.2,371.2
461.2,371.2
451.1,362.7
451.1,362.7
441.1,354.2
441.1,354.2
441.1,345.7
431.1,337.2
431.1,337.2
421,328.7
421,328.7
411,320.2
411,320.2
400.9,311.7
400.9,311.7
390.9,303.1
390.9,303.1
390.9,294.6
380.9,286.1
380.9,286.1
370.8,277.6
370.8,277.6
360.8,269.1
360.8,269.1
350.8,260.6
350.8,260.6
340.7,252.1
340.7,252.1
330.7,243.6
330.7,243.6
330.7,235.1
320.6,226.5
320.6,226.5
310.6,218
310.6,218
300.6,209.5
300.6,209.5
290.5,201
290.5,201
280.5,192.5
280.5,192.5
280.5,184
270.5,175.5
270.5,175.5
260.4,167
260.4,167
250.4,158.5
250.4,158.5
240.4,149.9
240.4,149.9
230.3,141.4
230.3,141.4
220.3,132.9
220.3,132.9
220.3,124.4
210.2,115.9
210.2,115.9
200.2,107.4
200.2,107.4
190.2,98.88
190.2,98.88
180.1,90.37
180.1,90.37
170.1,81.86
170.1,81.86
170.1,73.34
160.1,64.83
160.1,64.83
150,56.32

