#: table_doi: 10.17182/hepdata.116374.v1/t23
#: name: Figure 9a (observed limit contour)
#: description: Contour of the region excluded with 95% CL (observed).
#: data_file: contour_T2tt_obs.yaml
m_{stop} [GeV],m_{LSP} [pb]
1319,5.256
1318,13.77
1317,22.28
1316,30.79
1315,39.3
1315,47.81
1315,56.32
1316,64.83
1316,73.34
1317,81.86
1317,90.37
1316,98.88
1316,107.4
1315,115.9
1314,119.5
1314,124.4
1313,132.9
1312,141.4
1311,149.9
1311,158.5
1311,167
1311,175.5
1311,184
1311,192.5
1311,201
1311,209.5
1312,218
1312,226.5
1312,235.1
1312,243.6
1313,252.1
1313,260.6
1313,269.1
1313,277.6
1314,286.1
1314,294.6
1314,303.1
1314,311.7
1313,320.2
1312,328.7
1311,337.2
1310,345.7
1310,354.2
1309,362.7
1308,371.2
1307,379.7
1306,388.3
1305,396.8
1304,404.2
1304,405.3
1303,413.8
1301,422.3
1300,430.8
1299,439.3
1297,447.8
1295,456.3
1294,461.3
1293,464.9
1292,473.4
1290,481.9
1288,490.4
1286,498.9
1285,507.4
1285,515.9
1285,524.4
1284,531.9
1284,532.9
1283,541.5
1282,550
1280,558.5
1278,567
1276,575.5
1274,581.4
1273,584
1271,592.5
1268,601
1265,609.5
1264,610.7
1260,618.1
1256,626.6
1254,630.2
1251,635.1
1246,643.6
1244,648
1242,652.1
1237,660.6
1234,667
1233,669.1
1226,677.6
1224,680
1216,686.1
1214,687.2
1204,692.1
1198,694.7
1194,695.9
1184,698.4
1174,700.3
1164,702
1155,703.2
1154,703.3
1144,704.2
1134,705.1
1124,706.3
1114,707.3
1104,707.1
1093,705.1
1088,703.2
1083,701.1
1073,695.9
1071,694.7
1063,690
1056,686.1
1053,684.8
1043,680.9
1033,678.3
1030,677.6
1023,676.3
1013,675
1003,674.8
993.1,676.4
988.4,677.6
983.1,679.1
973.1,680.7
963,679.6
956.6,677.6
953,676.5
942.9,672.6
934.7,669.1
932.9,668.3
922.9,662.1
920.8,660.6
912.8,653.7
911.1,652.1
902.8,645.1
901,643.6
892.8,638.8
884.9,635.1
882.7,634.2
872.7,630.8
862.6,627.8
858.2,626.6
852.6,625.1
842.6,623.4
832.5,622.7
822.5,622.5
812.5,620.9
804.6,618.1
802.4,616.9
793.3,609.5
792.4,608.6
785,601
782.4,598.9
773.8,592.5
772.3,591.5
762.9,584
762.3,583.5
752.2,576.6
750.1,575.5
742.2,571.5
733.2,567
732.2,566.5
722.1,561.3
716.7,558.5
712.1,555.8
703.4,550
702.1,549
692.7,541.5
692,540.9
683.5,532.9
682,531.5
673.4,524.4
671.9,523.4
661.9,518.4
656.5,515.9
651.9,513.6
641.8,508.7
635.6,507.4
631.8,506.6
621.8,506.4
611.7,502.1
601.7,501.5
598.4,498.9
594,490.4
591.6,482.8
591.2,481.9
581.6,479.2
571.6,476.7
567.5,473.4
561.5,465.4
561.5,464.9
551.5,456.3
551.5,456.3
541.5,447.8
541.5,447.8
531.4,439.3
531.4,439.3
521.4,430.8
521.4,430.8
511.4,422.3
511.4,422.3
501.3,413.8
501.3,413.8
501.3,405.3
491.3,396.8
491.3,396.8
481.2,388.3
481.2,388.3
471.2,379.7
471.2,379.7
461.2,371.2
461.2,371.2
451.1,362.7
451.1,362.7
441.1,354.2
441.1,354.2
441.1,345.7
431.1,337.2
431.1,337.2
421,328.7
421,328.7
411,320.2
411,320.2
400.9,311.7
400.9,311.7
390.9,303.1
390.9,303.1
390.9,294.6
380.9,286.1
380.9,286.1
370.8,277.6
370.8,277.6
360.8,269.1
360.8,269.1
350.8,260.6
350.8,260.6
340.7,252.1
340.7,252.1
330.7,243.6
330.7,243.6
330.7,235.1
320.6,226.5
320.6,226.5
310.6,218
310.6,218
300.6,209.5
300.6,209.5
290.5,201
290.5,201
280.5,192.5
280.5,192.5
280.5,184
270.5,175.5
270.5,175.5
260.4,167
260.4,167
250.4,158.5
250.4,158.5
240.4,149.9
240.4,149.9
230.3,141.4
230.3,141.4
220.3,132.9
220.3,132.9
220.3,124.4
210.2,115.9
210.2,115.9
200.2,107.4
200.2,107.4
190.2,98.88
190.2,98.88
180.1,90.37
180.1,90.37
170.1,81.86
170.1,81.86
170.1,73.34
160.1,64.83
160.1,64.83
150,56.32

