#: table_doi: 10.17182/hepdata.135455.v1/t72
#: name: Figure 10 expected lines
#: description: Exclusion limit at 95% CL for the four-body decay of the top squark as a function of $m(\mathrm{\widetilde{t}}_{1})$ and $\Delta {m}$, for the combined data of the years 2016, 2017, and 2018. The lines represent the expected limits. These limits are derived using the expected top squark pair production cross section. The green line represents the central values, and the other lines the variations due to the theoretical or experimental uncertainties.
#: data_file: figure_10_expected_lines.yaml
#: keyword observables: Cross section
$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded [GeV]
540.06,10.0
550.0,12.336
575.0,16.355
599.83,20.0
600.0,20.046
625.0,26.963
640.55,30.0
649.66,40.0
650.0,40.271
662.47,50.0
663.9,60.0
672.09,70.0
675.0,79.212
675.26,80.0
581.07,~
600.0,~
625.0,~
636.97,~
650.0,~
675.0,~
688.92,~
698.16,~
700.0,~
711.82,~
713.41,~
721.18,~
725.0,~
728.79,~
505.86,~
525.0,~
550.0,~
551.97,~
575.0,~
592.03,~
600.0,~
600.86,~
608.79,~
611.64,~
622.21,~
625.0,~
633.54,~
609.34,~
625.0,~
650.0,~
674.99,~
675.0,~
700.0,~
725.0,~
733.82,~
749.31,~
750.0,~
763.99,~
755.81,~
766.84,~
771.93,~
478.65,~
500.0,~
514.34,~
525.0,~
546.06,~
550.0,~
553.15,~
560.91,~
563.55,~
575.0,~
577.06,~
592.69,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded +1 $\sigma$ [GeV]
540.06,~
550.0,~
575.0,~
599.83,~
600.0,~
625.0,~
640.55,~
649.66,~
650.0,~
662.47,~
663.9,~
672.09,~
675.0,~
675.26,~
581.07,10.0
600.0,14.127
625.0,18.397
636.97,20.0
650.0,23.233
675.0,27.83
688.92,30.0
698.16,40.0
700.0,41.113
711.82,50.0
713.41,60.0
721.18,70.0
725.0,75.168
728.79,80.0
505.86,~
525.0,~
550.0,~
551.97,~
575.0,~
592.03,~
600.0,~
600.86,~
608.79,~
611.64,~
622.21,~
625.0,~
633.54,~
609.34,~
625.0,~
650.0,~
674.99,~
675.0,~
700.0,~
725.0,~
733.82,~
749.31,~
750.0,~
763.99,~
755.81,~
766.84,~
771.93,~
478.65,~
500.0,~
514.34,~
525.0,~
546.06,~
550.0,~
553.15,~
560.91,~
563.55,~
575.0,~
577.06,~
592.69,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded -1 $\sigma$ [GeV]
540.06,~
550.0,~
575.0,~
599.83,~
600.0,~
625.0,~
640.55,~
649.66,~
650.0,~
662.47,~
663.9,~
672.09,~
675.0,~
675.26,~
581.07,~
600.0,~
625.0,~
636.97,~
650.0,~
675.0,~
688.92,~
698.16,~
700.0,~
711.82,~
713.41,~
721.18,~
725.0,~
728.79,~
505.86,10.0
525.0,15.173
550.0,19.728
551.97,20.0
575.0,26.085
592.03,30.0
600.0,38.909
600.86,40.0
608.79,50.0
611.64,60.0
622.21,70.0
625.0,72.062
633.54,80.0
609.34,~
625.0,~
650.0,~
674.99,~
675.0,~
700.0,~
725.0,~
733.82,~
749.31,~
750.0,~
763.99,~
755.81,~
766.84,~
771.93,~
478.65,~
500.0,~
514.34,~
525.0,~
546.06,~
550.0,~
553.15,~
560.91,~
563.55,~
575.0,~
577.06,~
592.69,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded +2 $\sigma$ [GeV]
540.06,~
550.0,~
575.0,~
599.83,~
600.0,~
625.0,~
640.55,~
649.66,~
650.0,~
662.47,~
663.9,~
672.09,~
675.0,~
675.26,~
581.07,~
600.0,~
625.0,~
636.97,~
650.0,~
675.0,~
688.92,~
698.16,~
700.0,~
711.82,~
713.41,~
721.18,~
725.0,~
728.79,~
505.86,~
525.0,~
550.0,~
551.97,~
575.0,~
592.03,~
600.0,~
600.86,~
608.79,~
611.64,~
622.21,~
625.0,~
633.54,~
609.34,10.0
625.0,13.334
650.0,17.719
674.99,20.0
675.0,20.001
700.0,24.76
725.0,29.175
733.82,30.0
749.31,40.0
750.0,40.23
763.99,50.0
755.81,60.0
766.84,70.0
771.93,80.0
478.65,~
500.0,~
514.34,~
525.0,~
546.06,~
550.0,~
553.15,~
560.91,~
563.55,~
575.0,~
577.06,~
592.69,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded -2 $\sigma$ [GeV]
540.06,~
550.0,~
575.0,~
599.83,~
600.0,~
625.0,~
640.55,~
649.66,~
650.0,~
662.47,~
663.9,~
672.09,~
675.0,~
675.26,~
581.07,~
600.0,~
625.0,~
636.97,~
650.0,~
675.0,~
688.92,~
698.16,~
700.0,~
711.82,~
713.41,~
721.18,~
725.0,~
728.79,~
505.86,~
525.0,~
550.0,~
551.97,~
575.0,~
592.03,~
600.0,~
600.86,~
608.79,~
611.64,~
622.21,~
625.0,~
633.54,~
609.34,~
625.0,~
650.0,~
674.99,~
675.0,~
700.0,~
725.0,~
733.82,~
749.31,~
750.0,~
763.99,~
755.81,~
766.84,~
771.93,~
478.65,10.0
500.0,16.578
514.34,20.0
525.0,24.073
546.06,30.0
550.0,35.556
553.15,40.0
560.91,50.0
563.55,60.0
575.0,68.275
577.06,70.0
592.69,80.0

