#: table_doi: 10.17182/hepdata.135455.v1/t71
#: name: Figure 10 observed lines
#: description: Exclusion limit at 95% CL for the four-body decay of the top squark as a function of $m(\mathrm{\widetilde{t}}_{1})$ and $\Delta {m}$, for the combined data of the years 2016, 2017, and 2018. The lines represent the observed limits. These limits are derived using the expected top squark pair production cross section. The green line represents the central values, and the other lines the variations due to the theoretical or experimental uncertainties.
#: data_file: figure_10_observed_lines.yaml
#: keyword observables: Cross section
$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded [GeV]
473.88,10.0
475.0,10.213
500.0,15.103
525.0,18.635
539.14,20.0
550.0,22.159
575.0,26.352
600.0,29.504
603.55,30.0
616.75,40.0
625.0,43.768
637.67,50.0
646.15,60.0
650.0,61.345
674.5,70.0
675.0,70.225
700.0,78.695
704.63,80.0
486.27,~
500.0,~
525.0,~
550.0,~
557.68,~
575.0,~
600.0,~
621.35,~
625.0,~
634.77,~
650.0,~
657.08,~
665.47,~
675.0,~
694.65,~
700.0,~
725.0,~
728.14,~
456.65,~
475.0,~
500.0,~
519.9,~
525.0,~
550.0,~
575.0,~
578.7,~
593.29,~
600.0,~
615.55,~
625.0,~
625.49,~
650.0,~
653.82,~
675.0,~
676.21,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded +1 $\sigma$ [GeV]
473.88,~
475.0,~
500.0,~
525.0,~
539.14,~
550.0,~
575.0,~
600.0,~
603.55,~
616.75,~
625.0,~
637.67,~
646.15,~
650.0,~
674.5,~
675.0,~
700.0,~
704.63,~
486.27,10.0
500.0,12.719
525.0,16.763
550.0,19.382
557.68,20.0
575.0,23.15
600.0,26.948
621.35,30.0
625.0,32.545
634.77,40.0
650.0,47.109
657.08,50.0
665.47,60.0
675.0,63.374
694.65,70.0
700.0,71.8
725.0,79.059
728.14,80.0
456.65,~
475.0,~
500.0,~
519.9,~
525.0,~
550.0,~
575.0,~
578.7,~
593.29,~
600.0,~
615.55,~
625.0,~
625.49,~
650.0,~
653.82,~
675.0,~
676.21,~

$m(\mathrm{\widetilde{t}}_{1})$ [GeV],max($\Delta {m}$) excluded -1 $\sigma$ [GeV]
473.88,~
475.0,~
500.0,~
525.0,~
539.14,~
550.0,~
575.0,~
600.0,~
603.55,~
616.75,~
625.0,~
637.67,~
646.15,~
650.0,~
674.5,~
675.0,~
700.0,~
704.63,~
486.27,~
500.0,~
525.0,~
550.0,~
557.68,~
575.0,~
600.0,~
621.35,~
625.0,~
634.77,~
650.0,~
657.08,~
665.47,~
675.0,~
694.65,~
700.0,~
725.0,~
728.14,~
456.65,10.0
475.0,13.489
500.0,17.487
519.9,20.0
525.0,21.279
550.0,25.989
575.0,29.555
578.7,30.0
593.29,40.0
600.0,42.968
615.55,50.0
625.0,59.383
625.49,60.0
650.0,68.635
653.82,70.0
675.0,79.605
676.21,80.0

