#: table_doi: 10.17182/hepdata.114415.v1/t19
#: name: Figure 8b
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the TChiWZ model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. Results are reported for the $\widetilde{m}_{\tilde{\chi}^0_2} \widetilde{m}_{\tilde{\chi}^0_1} < 0$ $M(\ell\ell)$ spectrum reweighting scenario. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_8b.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 --> W+/W- Z0 NEUTRALINO1 NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Expected
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\chi}^\pm_1} = m_{\tilde{\chi}^0_2}$ [GeV],"$\Delta m (\tilde{\chi}^0_2, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{experiment}$ +,$\pm 1 \sigma_\text{experiment}$ -,$\pm 2 \sigma_\text{experiment}$ +,$\pm 2 \sigma_\text{experiment}$ -
250.0,5.0,0.91086,0.54461,-0.31683,1.3353,-0.49457
100.0,30.0,3.8521,2.0422,-1.2569,4.9292,-1.9863
100.0,50.0,5.2469,2.8653,-1.712,7.0931,-2.7054
200.0,8.0,0.65645,0.34801,-0.2142,0.83999,-0.33848
275.0,15.0,0.51545,0.2671,-0.16564,0.63807,-0.26175
125.0,8.0,1.0241,0.5429,-0.33414,1.2983,-0.52803
175.0,5.0,1.1334,0.67769,-0.39709,1.6999,-0.61985
200.0,20.0,0.99879,0.49765,-0.31849,1.1898,-0.5033
150.0,3.0,4.2297,2.6638,-1.503,6.8137,-2.3462
100.0,10.0,1.3173,0.68258,-0.41164,1.6149,-0.65863
300.0,40.0,0.85247,0.45873,-0.28026,1.1143,-0.44288
175.0,8.0,0.78735,0.42055,-0.25885,1.0183,-0.40905
175.0,20.0,1.3209,0.64762,-0.41278,1.5357,-0.66045
100.0,15.0,2.2582,1.1251,-0.70567,2.69,-1.1291
100.0,20.0,2.7563,1.4283,-0.87479,3.4447,-1.3997
200.0,3.0,3.5858,2.487,-1.3788,6.5254,-2.101
275.0,8.0,0.58758,0.33024,-0.19997,0.79864,-0.31215
275.0,30.0,0.81879,0.42428,-0.26514,1.0136,-0.41899
200.0,15.0,0.60704,0.31456,-0.19657,0.75505,-0.31063
300.0,10.0,0.39298,0.2052,-0.12823,0.49195,-0.20263
250.0,20.0,0.69996,0.35713,-0.22215,0.84679,-0.35545
150.0,20.0,1.2092,0.62177,-0.38559,1.4799,-0.60933
150.0,30.0,1.6291,0.86368,-0.52755,2.0654,-0.83366
