#: table_doi: 10.17182/hepdata.114415.v1/t19
#: name: Figure 8b
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the TChiWZ model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. Results are reported for the $\widetilde{m}_{\tilde{\chi}^0_2} \widetilde{m}_{\tilde{\chi}^0_1} < 0$ $M(\ell\ell)$ spectrum reweighting scenario. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_8b.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 --> W+/W- Z0 NEUTRALINO1 NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\chi}^\pm_1} = m_{\tilde{\chi}^0_2}$ [GeV],"$\Delta m (\tilde{\chi}^0_2, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{theory}$ +,$\pm 1 \sigma_\text{theory}$ -
250.0,5.0,0.54222,0.036023,-0.031798
100.0,30.0,13.408,0.60188,-0.5523
100.0,50.0,18.969,0.85153,-0.78138
200.0,8.0,0.63072,0.037464,-0.033486
275.0,15.0,0.70633,0.049269,-0.043237
125.0,8.0,1.0464,0.049997,-0.045636
175.0,5.0,0.63377,0.034958,-0.031485
200.0,20.0,1.2146,0.072144,-0.064483
150.0,3.0,3.4456,0.17706,-0.16056
100.0,10.0,2.4055,0.10798,-0.099088
300.0,40.0,1.5764,0.11524,-0.10054
175.0,8.0,0.68241,0.037642,-0.033902
175.0,20.0,2.7084,0.14939,-0.13455
100.0,15.0,4.4425,0.19943,-0.183
100.0,20.0,4.7421,0.21288,-0.19534
200.0,3.0,2.0157,0.11973,-0.10702
275.0,8.0,0.55755,0.038891,-0.034129
275.0,30.0,1.3038,0.090946,-0.079812
200.0,15.0,1.0827,0.06431,-0.057481
300.0,10.0,0.45034,0.032923,-0.028723
250.0,20.0,1.0692,0.071036,-0.062704
150.0,20.0,2.2213,0.11415,-0.10351
150.0,30.0,4.9571,0.25474,-0.231
200.0,10.0,0.9727,0.057778,-0.051643
200.0,50.0,7.0379,0.41805,-0.37366
225.0,50.0,3.397,0.2132,-0.18942
250.0,30.0,2.749,0.18263,-0.16121
275.0,5.0,0.63575,0.044346,-0.038916
150.0,8.0,0.86505,0.044454,-0.040311
150.0,50.0,6.5934,0.33882,-0.30725
150.0,15.0,2.1465,0.1103,-0.10002
300.0,3.0,166.53,12.174,-10.621
125.0,5.0,0.95716,0.045734,-0.041745
125.0,15.0,2.2208,0.10611,-0.096854
275.0,50.0,3.0916,0.21565,-0.18925
250.0,8.0,0.46675,0.031009,-0.027372
300.0,5.0,0.51775,0.037851,-0.033022
150.0,40.0,7.7898,0.40031,-0.363
275.0,20.0,0.8004,0.05583,-0.048995
100.0,40.0,9.6759,0.43436,-0.39858
225.0,8.0,0.61748,0.038754,-0.034432
300.0,20.0,0.8072,0.059011,-0.051483
125.0,10.0,1.7773,0.084921,-0.077514
250.0,3.0,2.1333,0.14172,-0.1251
125.0,20.0,4.6852,0.22386,-0.20433
150.0,5.0,1.0788,0.05544,-0.050273
125.0,30.0,5.6351,0.26925,-0.24576
275.0,10.0,0.51606,0.035997,-0.03159
200.0,30.0,2.1476,0.12757,-0.11402
250.0,50.0,3.0598,0.20328,-0.17944
225.0,30.0,2.1863,0.13722,-0.12191
250.0,15.0,0.79071,0.052531,-0.04637
225.0,5.0,0.61997,0.03891,-0.034571
300.0,50.0,2.6632,0.1947,-0.16986
250.0,10.0,0.5485,0.03644,-0.032166
175.0,10.0,0.92189,0.050851,-0.045799
100.0,5.0,1.1874,0.053306,-0.048914
225.0,40.0,3.0988,0.19449,-0.1728
175.0,3.0,2.862,0.15787,-0.14218
125.0,3.0,2.4089,0.1151,-0.10506
200.0,5.0,0.59789,0.035514,-0.031743
100.0,8.0,1.1359,0.050991,-0.04679
300.0,30.0,1.708,0.12487,-0.10894
225.0,10.0,0.67228,0.042193,-0.037488
275.0,3.0,2.355,0.16427,-0.14416
150.0,10.0,0.95164,0.048903,-0.044345
200.0,40.0,3.6332,0.21581,-0.19289
175.0,15.0,1.763,0.097247,-0.087585
125.0,40.0,8.4207,0.40234,-0.36725
125.0,50.0,11.969,0.57188,-0.522
225.0,3.0,4.1722,0.26185,-0.23265
300.0,8.0,0.57491,0.042029,-0.036668
175.0,40.0,2.8827,0.15901,-0.14321
225.0,15.0,0.75176,0.047181,-0.041919
225.0,20.0,1.5825,0.099318,-0.088241
300.0,15.0,0.59895,0.043786,-0.038201
175.0,50.0,8.7237,0.4812,-0.43339
175.0,30.0,3.9149,0.21594,-0.19449
100.0,3.0,5.2981,0.23784,-0.21824
275.0,40.0,1.7559,0.12248,-0.10749
250.0,40.0,4.0472,0.26888,-0.23734

