#: table_doi: 10.17182/hepdata.114415.v1/t18
#: name: Figure 8a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the TChiWZ model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. Results are reported for the $\widetilde{m}_{\tilde{\chi}^0_2} \widetilde{m}_{\tilde{\chi}^0_1} > 0$ $M(\ell\ell)$ spectrum reweighting scenario. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_8a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 --> W+/W- Z0 NEUTRALINO1 NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Expected
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\chi}^\pm_1} = m_{\tilde{\chi}^0_2}$ [GeV],"$\Delta m (\tilde{\chi}^0_2, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{experiment}$ +,$\pm 1 \sigma_\text{experiment}$ -,$\pm 2 \sigma_\text{experiment}$ +,$\pm 2 \sigma_\text{experiment}$ -
250.0,5.0,0.81305,0.47641,-0.28078,1.188,-0.43829
100.0,30.0,2.9777,1.6261,-1.0337,3.9037,-1.6749
100.0,50.0,5.5568,3.6769,-2.055,9.2451,-3.1691
200.0,8.0,0.65998,0.34988,-0.21801,0.84451,-0.3403
275.0,15.0,0.57061,0.27976,-0.17831,0.66339,-0.2853
125.0,8.0,1.0339,0.53985,-0.33223,1.3065,-0.52501
175.0,5.0,1.0873,0.6371,-0.37548,1.5764,-0.58612
150.0,40.0,2.0744,1.108,-0.67685,2.6585,-1.0696
150.0,3.0,2.5196,1.7073,-0.943,4.3639,-1.437
100.0,10.0,1.2508,0.62822,-0.39089,1.5078,-0.62542
300.0,40.0,0.65598,0.36868,-0.21891,0.90677,-0.34593
175.0,8.0,0.83926,0.43489,-0.27177,1.0489,-0.42947
100.0,15.0,1.9593,1.0231,-0.63446,2.476,-1.0026
100.0,20.0,2.6567,1.3872,-0.86028,3.3257,-1.3595
225.0,3.0,4.0596,2.6214,-1.4602,6.7364,-2.2518
275.0,8.0,0.50909,0.27395,-0.16737,0.66244,-0.26449
250.0,8.0,0.56853,0.30593,-0.18551,0.73644,-0.29315
200.0,15.0,0.76586,0.38159,-0.2412,0.9123,-0.38592
300.0,10.0,0.38542,0.20126,-0.12481,0.48021,-0.19723
300.0,3.0,51.076,51.712,-34.19,103.83,-40.9
150.0,20.0,1.0777,0.54984,-0.34631,1.3166,-0.54725
150.0,30.0,1.4318,0.77048,-0.47073,1.8547,-0.74388
200.0,10.0,0.59116,0.30397,-0.18997,0.73054,-0.3002
300.0,50.0,0.85247,0.4995,-0.29439,1.2262,-0.45953
225.0,50.0,1.2698,0.73389,-0.43532,1.7933,-0.67952
250.0,30.0,0.67245,0.36454,-0.22274,0.87633,-0.35199
275.0,5.0,0.82303,0.49209,-0.28834,1.2065,-0.45009
150.0,8.0,0.89046,0.46142,-0.28835,1.1129,-0.45567
150.0,50.0,2.5601,1.4184,-0.85846,3.4703,-1.34
150.0,15.0,1.2143,0.60985,-0.3842,1.4491,-0.60713
200.0,20.0,0.78703,0.40155,-0.24979,0.95212,-0.39967
125.0,5.0,1.465,0.80588,-0.48528,1.9662,-0.76686
125.0,15.0,1.6953,0.83119,-0.52565,1.9915,-0.84104
100.0,5.0,1.6936,0.93836,-0.56518,2.2564,-0.89312
275.0,30.0,0.62151,0.33692,-0.20433,0.81359,-0.3229
150.0,5.0,1.3812,0.77629,-0.47008,1.8774,-0.73378
200.0,50.0,2.2799,1.3177,-0.78734,3.2199,-1.229
275.0,20.0,0.55151,0.28359,-0.17859,0.67497,-0.28222
175.0,20.0,1.0152,0.51392,-0.3222,1.2259,-0.51553
200.0,30.0,0.91409,0.47367,-0.29826,1.137,-0.47133
225.0,8.0,0.63261,0.33789,-0.20798,0.8182,-0.32866
125.0,10.0,1.1956,0.59569,-0.37828,1.4098,-0.59778
250.0,3.0,2.4575,1.6065,-0.90716,4.1365,-1.3823
125.0,20.0,1.5385,0.83404,-0.50582,2.014,-0.79932
300.0,5.0,0.85851,0.527,-0.30292,1.3023,-0.47285
125.0,30.0,1.9795,1.0652,-0.65388,2.5874,-1.0207
300.0,20.0,0.46856,0.2372,-0.14871,0.56583,-0.23794
250.0,50.0,1.2074,0.67376,-0.40788,1.6388,-0.63669
225.0,20.0,0.62351,0.32061,-0.20036,0.76308,-0.31662
275.0,10.0,0.46455,0.24072,-0.15043,0.57782,-0.23772
250.0,15.0,0.66634,0.33201,-0.20823,0.78974,-0.33317
225.0,5.0,1.0149,0.58659,-0.35048,1.4333,-0.5471
100.0,40.0,3.7415,2.1923,-1.2921,5.3818,-2.0169
250.0,10.0,0.4753,0.24819,-0.15509,0.595,-0.24508
275.0,50.0,1.0988,0.65697,-0.38495,1.6355,-0.6009
225.0,40.0,1.0331,0.55593,-0.34384,1.3504,-0.53673
175.0,3.0,3.0456,2.0638,-1.1399,5.4047,-1.7369
225.0,15.0,0.64399,0.32087,-0.20125,0.75937,-0.32199
200.0,5.0,1.147,0.6721,-0.39898,1.6499,-0.6228
100.0,8.0,1.6051,0.81253,-0.51975,1.9575,-0.82134
225.0,30.0,0.77142,0.41511,-0.25675,0.99926,-0.40078
300.0,30.0,0.50332,0.27686,-0.16796,0.66962,-0.26542
225.0,10.0,0.57344,0.29486,-0.18428,0.70865,-0.2912
275.0,3.0,3.3091,2.1896,-1.207,5.5768,-1.8614
125.0,3.0,2.8909,2.0281,-1.0894,5.3857,-1.66
200.0,3.0,2.174,1.5079,-0.82482,3.9564,-1.2569
200.0,40.0,1.3623,0.72765,-0.44788,1.762,-0.70776
175.0,15.0,0.98635,0.48359,-0.30823,1.1467,-0.49317
125.0,40.0,2.4597,1.3236,-0.80867,3.2151,-1.2779
175.0,10.0,0.64891,0.33367,-0.21013,0.79805,-0.33206
125.0,50.0,3.2339,1.8304,-1.0872,4.5505,-1.718
300.0,8.0,0.44588,0.23994,-0.14659,0.58019,-0.23165
250.0,20.0,0.57922,0.29553,-0.18613,0.70765,-0.29414
175.0,40.0,1.3382,0.75211,-0.45209,1.8498,-0.70569
150.0,10.0,0.70073,0.3659,-0.22518,0.87305,-0.35584
300.0,15.0,0.55773,0.27122,-0.17293,0.64039,-0.27669
175.0,50.0,2.7802,1.5404,-0.93229,3.7687,-1.4553
175.0,30.0,0.97481,0.52845,-0.32289,1.2761,-0.51025
100.0,3.0,3.2544,2.1534,-1.2025,5.5547,-1.8433
275.0,40.0,0.73818,0.40605,-0.24451,0.98208,-0.38639
250.0,40.0,0.92615,0.51314,-0.30677,1.2339,-0.48478
