#: table_doi: 10.17182/hepdata.114415.v1/t18
#: name: Figure 8a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the TChiWZ model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. Results are reported for the $\widetilde{m}_{\tilde{\chi}^0_2} \widetilde{m}_{\tilde{\chi}^0_1} > 0$ $M(\ell\ell)$ spectrum reweighting scenario. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_8a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 --> W+/W- Z0 NEUTRALINO1 NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\chi}^\pm_1} = m_{\tilde{\chi}^0_2}$ [GeV],"$\Delta m (\tilde{\chi}^0_2, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{theory}$ +,$\pm 1 \sigma_\text{theory}$ -
250.0,5.0,0.57497,0.038198,-0.033718
100.0,30.0,8.97,0.40268,-0.3695
100.0,50.0,28.113,1.262,-1.158
200.0,8.0,0.81794,0.048585,-0.043426
275.0,15.0,0.82922,0.057841,-0.05076
125.0,8.0,1.4173,0.06772,-0.061813
175.0,5.0,0.60443,0.03334,-0.030027
150.0,40.0,2.5617,0.13164,-0.11937
150.0,3.0,1.7315,0.088979,-0.080686
100.0,10.0,2.7539,0.12362,-0.11344
300.0,40.0,1.0287,0.075201,-0.065609
175.0,8.0,1.0287,0.05674,-0.051103
100.0,15.0,3.8082,0.17095,-0.15687
100.0,20.0,3.4426,0.15454,-0.14181
225.0,3.0,2.6045,0.16346,-0.14523
275.0,8.0,0.75604,0.052736,-0.04628
250.0,8.0,0.68824,0.045723,-0.040361
200.0,15.0,1.5445,0.091739,-0.081998
300.0,10.0,0.55692,0.040714,-0.035521
300.0,3.0,398.1,29.103,-25.391
150.0,20.0,1.5773,0.081054,-0.0735
150.0,30.0,3.5795,0.18395,-0.1668
200.0,10.0,0.95495,0.056723,-0.0507
300.0,50.0,1.3161,0.096216,-0.083943
225.0,50.0,1.7431,0.1094,-0.097197
250.0,30.0,1.6917,0.11239,-0.099209
275.0,5.0,0.65503,0.04569,-0.040097
150.0,8.0,1.2983,0.066717,-0.060499
150.0,50.0,5.3816,0.27655,-0.25078
150.0,15.0,1.9988,0.10272,-0.093144
200.0,20.0,1.0343,0.061436,-0.054912
125.0,5.0,1.2443,0.059456,-0.05427
125.0,15.0,3.2076,0.15326,-0.13989
100.0,5.0,1.8318,0.082231,-0.075456
275.0,30.0,1.2182,0.084974,-0.07457
150.0,5.0,1.0662,0.054791,-0.049685
200.0,50.0,3.9495,0.2346,-0.20969
275.0,20.0,0.71742,0.050043,-0.043916
175.0,20.0,1.7022,0.093892,-0.084563
200.0,30.0,1.9249,0.11433,-0.10219
225.0,8.0,0.64691,0.040601,-0.036073
125.0,10.0,1.9346,0.092437,-0.084374
250.0,3.0,1.5958,0.10602,-0.093586
125.0,20.0,2.5618,0.1224,-0.11173
300.0,5.0,0.65362,0.047783,-0.041688
125.0,30.0,4.8686,0.23263,-0.21234
300.0,20.0,0.65256,0.047706,-0.04162
250.0,50.0,2.3592,0.15673,-0.13835
225.0,20.0,0.92513,0.058062,-0.051587
275.0,10.0,0.6963,0.048569,-0.042623
250.0,15.0,0.82466,0.054787,-0.048361
225.0,5.0,0.58182,0.036516,-0.032443
100.0,40.0,8.8418,0.39692,-0.36422
250.0,10.0,0.64208,0.042657,-0.037653
275.0,50.0,1.738,0.12123,-0.10639
225.0,40.0,2.0637,0.12952,-0.11508
175.0,3.0,1.8416,0.10158,-0.091487
225.0,15.0,0.97387,0.061121,-0.054305
200.0,5.0,0.72137,0.042848,-0.038299
100.0,8.0,1.8244,0.081898,-0.075151
225.0,30.0,1.9354,0.12147,-0.10792
300.0,30.0,1.0711,0.078304,-0.068315
225.0,10.0,0.7774,0.048791,-0.043349
275.0,3.0,1.9286,0.13453,-0.11806
125.0,3.0,1.7689,0.084518,-0.077146
200.0,3.0,1.2756,0.075772,-0.067726
200.0,40.0,1.9984,0.1187,-0.1061
175.0,15.0,1.7381,0.095872,-0.086347
125.0,40.0,5.6969,0.2722,-0.24846
175.0,10.0,0.94932,0.052364,-0.047161
125.0,50.0,7.8498,0.37507,-0.34235
300.0,8.0,0.59227,0.043298,-0.037775
250.0,20.0,0.74241,0.049322,-0.043537
175.0,40.0,1.8878,0.10413,-0.093784
150.0,10.0,0.99598,0.051182,-0.046412
300.0,15.0,0.6586,0.048147,-0.042006
175.0,50.0,6.4011,0.35308,-0.318
175.0,30.0,2.4801,0.1368,-0.12321
100.0,3.0,2.2557,0.10126,-0.09292
275.0,40.0,1.0563,0.073684,-0.064663
250.0,40.0,1.6229,0.10782,-0.095174

